ID,Author,category,species,gene,method,promoter,generation,age,source,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
82,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,stomach,DHA,3,14.08,3.19,3,10.24,2.87
83,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,intestine,DHA,3,9.07,0.4,3,7.65,1.44
84,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,testis,DHA,3,28.03,5.17,3,22.91,3.7
85,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,EPA,4,41.7,1.5,4,43.6,0.9
86,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,EPA,4,45,3,4,46.9,1.1
87,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,EPA,4,26.3,0.3,4,26.3,1.2
88,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,DHA,4,52.7,4.1,4,52.2,7.4
89,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,DHA,4,44.3,2.9,4,42,2.5
90,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,DHA,4,180.6,9.3,4,182.2,7.4
97,"Liu et al., 2016",pig,Song-liao black,fat1,transgenesis,?-actin,P1,90,ear,EPA,5,2.71,0.72,3,1.09,0.12
98,"Liu et al., 2016",pig,Song-liao black,fat1,transgenesis,?-actin,P1,90,ear,DHA,5,1.15,0.17,3,0.38,0.08
102,"Bugg, 2017",fish,common carp,D5D,transgenesis,?-actin,F1,180,muscle,EPA,5,0.65,0.04,2,0.72,0.1
103,"Bugg, 2017",fish,common carp,D5D,transgenesis,?-actin,F1,180,muscle,DHA,5,1.4,0.8,2,2.1,0.9
106,"Bugg, 2017",fish,channel catfish,D5D,transgenesis,?-actin,F1,180,muscle,EPA,3,8.2,1.2,2,8.28,2.1
107,"Bugg, 2017",fish,channel catfish,D5D,transgenesis,?-actin,F1,180,muscle,DHA,3,29.25,2.11,2,25.77,2.5
123,"Huang et al., 2021",fish,channel catfish,D5D,transgenesis,?-actin,F1,360,muscle,EPA,2,8.52,0.06,10,6.95,0.85
124,"Huang et al., 2021",fish,channel catfish,D5D,transgenesis,?-actin,F1,360,muscle,DHA,2,15.35,0.29,10,11.62,1.84
127,"Huang et al., 2021",fish,channel catfish,D5D,transgenesis,?-actin,F1,360,muscle,EPA,8,9.43,1.13,17,7.24,0.69
128,"Huang et al., 2021",fish,channel catfish,D5D,transgenesis,?-actin,F1,360,muscle,DHA,8,17.13,2.34,17,11.65,1.56
131,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,?-actin,P1,300,muscle,EPA,3,5.09,0.43,3,4.32,0.32
132,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,?-actin,P1,300,muscle,DHA,3,9.86,0.32,3,6.09,1.39
135,"Xing et al., 2022b",fish,channel catfish,elovl2,transgenesis,?-actin,P1,270,muscle,EPA,3,5.18,0.08,3,5.27,0.28
136,"Xing et al., 2022b",fish,channel catfish,elovl2,transgenesis,?-actin,P1,270,muscle,DHA,3,9.52,0.24,3,7.89,0.49
139,"Xing et al., 2023",fish,channel catfish,fat1,transgenesis,?-actin,P1,210,muscle,EPA,5,4.91,0.34,5,4.43,0.36
140,"Xing et al., 2023",fish,channel catfish,fat1,transgenesis,?-actin,P1,210,muscle,DHA,5,12.03,1.73,5,8.78,1.01
144,"Xing et al., 2023",fish,channel catfish,fat2,transgenesis,?-actin,P1,210,muscle,EPA,5,4.52,0.6,5,4.43,0.36
145,"Xing et al., 2023",fish,channel catfish,fat2,transgenesis,?-actin,P1,210,muscle,DHA,5,9.82,1.63,5,8.78,1.01
149,"Coogan et al., 2023",fish,channel catfish,elovl2,transgenesis,?-actin,P1,180,muscle,EPA,3,1.13,0.7,3,0.51,0.33
150,"Coogan et al., 2023",fish,channel catfish,elovl2,transgenesis,?-actin,P1,180,muscle,DHA,3,1.74,0.71,3,1.31,0.6
