ID,Author,category,species,gene,method,promoter,pathogen,generation,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
44,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,60,5,30,18,2
45,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,3,30,18,2
46,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,2,30,18,2
47,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,4,30,18,2
48,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,88,2,30,18,2
49,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,75,3,30,18,6
50,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,80,5,30,18,6
51,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,96,2,30,18,6
52,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,85,3,30,18,6
53,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,21,8,30,18,6
54,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,88,2,30,18,6
55,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,80,6,30,18,6
56,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,82,5,30,18,6
167,"Elaswad et al., 2019",fish,channel catfish,cec,transgenesis,CMV,Ich,F1,CSR,23,58.3,2.98,13,37.6,3.49
168,"Elaswad et al., 2019",fish,channel catfish,cec,transgenesis,CMV,Ich,F1,CSR,25,53.2,2.44,15,59.8,2.79
229,"Abass et al., 2022",fish,channel catfish,cec,transgenesis,CMV,Edwardsiella,F1,CSR,36,11.86,11.55,30,26.67,5.77
230,"Abass et al., 2022",fish,channel catfish,cec,transgenesis,?-actin,Edwardsiella,F1,CSR,9,26.11,12.69,51,17.45,4.86
240,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,UBI,Flavobacterium,P1,CSR,10,80,0.8,10,30,0
241,"Wang et al., 2023b",fish,channel catfish,cec,transgenesis,UBI,Edwardsiella,F1,CSR,15,45,7.07,15,20,0
242,"Wang et al., 2023b",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,55,7.07,15,20,0
258,"Rohaim et al., 2024",chicken,unknown,chIFITM3,transgenesis,?-actin,HPAIV,P1,CSR,8,56.7,2.7,8,24.7,0
259,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,P1,CSR,15,73.33,1.7,15,13.3,0
260,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,P1,CSR,15,66.67,2.4,15,13.3,0
261,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,F1,CSR,15,86.67,3,15,26.67,0
262,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,F1,CSR,15,73.33,1.9,15,26.67,0
263,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,P1,CSR,15,73.33,2.5,15,33.33,0
264,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,P1,CSR,15,73.33,3,15,33.33,0
265,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,60,1.8,15,33.33,0
266,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,66.67,1,15,40,0
267,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,P1,CSR,20,55,7.07,20,30,0
268,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,P1,CSR,20,75,7.07,20,15,0
269,"Wang et al., 2024b",fish,channel catfish,cec,transgenesis,UBI,Edwardsiella,P1,CSR,20,50,14.142,20,20,0
270,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,36.7,14.142,20,25,0
271,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,70,4.667,20,40,0
272,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,F1,CSR,15,43.3,1.56,20,15,0
273,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,F1,CSR,15,80,4.67,20,35,0
