ID,Author,category,species,gene,method,promoter,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
229,"Kang et al., 2017",pig,Uknown,mstn,gene_editing,NA,myofiber_size,P1,60,3,747.826,200,3,469.565,156.522
230,"Kang et al., 2017",pig,Uknown,mstn,gene_editing,NA,myofiber_size,P1,180,3,3017.391,547.826,3,2086.957,426.087
234,"Khalil et al., 2017",fish,channel catfish,mstn,gene_editing,NA,myofiber_size,P1,30,32,30.4,0.2,32,29.8,0.2
235,"Khalil et al., 2017",fish,channel catfish,mstn,gene_editing,NA,myofiber_size,P1,30,32,24668.6,394.8,32,18109.7,467.4
236,"Khalil et al., 2017",fish,channel catfish,mstn,gene_editing,NA,myofiber_number,P1,30,32,809.5,7.9,32,605.2,13.7
256,"Wang et al., 2018",pig,Bama,IGF2,gene_editing,NA,myofiber_number,F1,180,3,49.655,2.452,2,67.433,7.356
261,"Kishimoto et al., 2018",fish,red sea bream,mstn,gene_editing,NA,myofiber_size,F1,449,7,235.79,35.64,7,203.03,17.42
269,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,myofiber_size,P1,210,6,980,23,12,719.76,12
270,"He et al., 2018",goat,Yangtze River Delta white,mstn,gene_editing,NA,myofiber_number,P1,210,6,2500,135,12,900,36
314,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,myofiber_size,P1,180,5,3512.2,439.17,5,1274.76,327.3
315,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,myofiber_size,P1,180,5,2610.37,604.44,5,1274.76,327.3
316,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,myofiber_size,P1,180,5,2109.22,206.75,5,989.39,239.27
317,"Zhang et al., 2019",rabbit,New Zealand,mstn,gene_editing,NA,myofiber_size,P1,180,5,1677.24,247.5,5,989.39,239.27
327,"Sun et al., 2020a",fish,blunt snout bream,mstn,gene_editing,NA,myofiber_size,P1,180,3,1.64,0.85,3,1.31,0.71
328,"Sun et al., 2020a",fish,blunt snout bream,mstn,gene_editing,NA,myofiber_size,P1,180,3,1.67,0.9,3,1.31,0.71
346,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,myofiber_size,P1,84,5,645.059,66.403,5,619.763,44.269
347,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,myofiber_size,P1,84,5,578.656,47.431,5,619.763,44.269
348,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,myofiber_size,P1,84,5,2220,132,5,2304,96
349,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,myofiber_size,P1,84,5,1956,108,5,2304,96
350,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,myofiber_number,P1,84,5,390.323,35.484,5,380.645,32.258
351,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,myofiber_number,P1,84,5,564.516,41.935,5,380.645,32.258
352,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,myofiber_number,P1,84,5,5.574,0.41,5,5.328,0.205
353,"Lee et al., 2020",bird,Japanese quail,mstn,gene_editing,NA,myofiber_number,P1,84,5,8.033,0.41,5,5.328,0.205
380,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,myofiber_size,F1,126,12,197.248,9.939,12,107.798,5.352
381,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,myofiber_size,F1,126,12,87.329,8.562,12,63.356,3.425
382,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,myofiber_number,F1,126,12,55.706,2.733,12,32.162,2.733
383,"Kim et al., 2020",chicken,White Leghorn,mstn,gene_editing,NA,myofiber_number,F1,126,12,24.878,3.201,12,23.963,2.287
392,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,myofiber_size,F1,80,3,19.01,1.423,3,17.11,0.472
393,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,myofiber_size,F1,80,3,17.73,0.993,3,15.61,1.219
394,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,myofiber_size,F1,80,3,19.95,0.678,3,17.2,1.077
395,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,myofiber_number,F1,80,3,928.3,162,3,610.3,17.24
396,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,myofiber_number,F1,80,3,4105,344.9,3,2422,415.1
397,"Zhang et al., 2020",fish,yellow catfish,mstn,gene_editing,NA,myofiber_number,F1,80,3,3332,796.3,3,2119,179.3
401,"Tao et al., 2021",fish,Pond loach,mstn,gene_editing,NA,myofiber_number,P1,90,5,472.8,33.52,5,368,26.15
402,"Tao et al., 2021",fish,Pond loach,mstn,gene_editing,NA,myofiber_size,P1,90,5,319.6,22.73,5,301.8,13.08
403,"Tao et al., 2021",fish,Pond loach,mstn,gene_editing,NA,myofiber_size,P1,90,5,148822,7362,5,111143,9640
456,"Shahi et al., 2022",fish,Common carp,mstn,gene_editing,NA,myofiber_size,P1,90,5,49.5,2.1,5,28.7,3.6
511,"Wu et al., 2023",fish,Nile tilapia,mstn,gene_editing,NA,myofiber_size,P1,210,3,19.529,3.059,3,9.882,0.706
512,"Wu et al., 2023",fish,Nile tilapia,mstn,gene_editing,NA,myofiber_size,P1,210,3,23.412,4.471,3,11.412,0
513,"Wu et al., 2023",fish,Nile tilapia,mstn,gene_editing,NA,myofiber_size,P1,210,3,3.529,0.824,3,2,0.588
515,"Zheng et al., 2023",fish,Culter alburnus,mstn,gene_editing,NA,myofiber_size,F1,60,3,1.98,0.65,3,1.63,0.48
69,"Hill et al., 2000",fish,Coho salmon,csGH,transgenesis,OnMT,myofiber_size,F1,60,5,170,4,3,176,8
115,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,?-actin,myofiber_number,F1,0,23,8.6,0.9,34,10.1,1.1
116,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,?-actin,myofiber_number,F1,0,11,10.38,0.85,27,11.1,2
232,"Jiang et al., 2017",fish,blunt snout bream,gcFST,transgenesis,Mylz2,myofiber_size,F1,510,8,1.62,0.84,8,1.32,0.81
