ID,Author,category,species,gene,method,promoter,pathogen,generation,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
25,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,88,3,30,20,6
26,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,86,5,30,20,6
27,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,80,6,30,20,6
28,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,70,3,30,20,6
29,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,80,4,30,20,6
30,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,90,2,30,20,6
31,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,75,6,30,20,6
32,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,20,3,30,20,6
33,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,85,4,30,15,4
34,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,60,6,30,15,4
35,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,70,6,30,15,4
36,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,60,4,30,15,4
37,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,45,7,30,15,4
38,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,80,2,30,15,4
39,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,80,3,30,15,4
40,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,1,30,18,2
41,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,75,2,30,18,2
42,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,85,2,30,18,2
43,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,4,30,18,2
44,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,60,5,30,18,2
45,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,3,30,18,2
46,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,2,30,18,2
47,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,4,30,18,2
48,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,88,2,30,18,2
49,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,75,3,30,18,6
50,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,80,5,30,18,6
51,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,96,2,30,18,6
52,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,85,3,30,18,6
53,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,21,8,30,18,6
54,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,88,2,30,18,6
55,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,80,6,30,18,6
56,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,IHNV,F1,CSR,30,82,5,30,18,6
57,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,CMV,CSFV,P1,pathogen load,5,4.225,0,1,88.263,6.573
58,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,CMV,CSFV,P1,pathogen load,5,8.92,0,1,88.263,6.573
59,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,CMV,CSFV,P1,pathogen load,5,30.986,1.878,1,88.263,6.573
60,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,CMV,CSFV,P1,pathogen load,5,5.164,0,1,88.263,6.573
61,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,CMV,CSFV,P1,pathogen load,5,23.474,1.878,1,88.263,6.573
62,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,H1,FMDV,P1,virus RNA,2,0.698,0,5,98.721,4.186
63,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,H1,FMDV,P1,virus RNA,2,2.442,0,5,98.721,4.186
64,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,H1,FMDV,P1,virus RNA,2,4.535,0,5,98.721,4.186
65,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,H1,FMDV,P1,virus RNA,2,2.442,0,5,98.721,4.186
66,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,H1,FMDV,P1,virus RNA,3,7.674,0,5,98.721,4.186
67,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,H1,FMDV,P1,virus RNA,3,8.372,0,5,98.721,4.186
68,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,H1,FMDV,P1,virus RNA,3,6.977,0,5,98.721,4.186
69,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,H1,FMDV,P1,virus RNA,3,7.326,0,5,98.721,4.186
70,"Wu et al., 2015",cattle,Holstein_Friesian,SP110,transgenesis,PGK1,Mycobacterium,P1,pathogen load,9,149.3,15.6,9,268,19.2
71,"Wu et al., 2015",cattle,Holstein_Friesian,SP110,transgenesis,PGK1,Mycobacterium,P1,pathogen load,9,136.4,23.7,9,289,17.3
72,"Wu et al., 2015",cattle,Holstein_Friesian,SP110,transgenesis,PGK1,Mycobacterium,P1,pathogen load,9,0.29,0.062,9,0.75,0.056
73,"Wu et al., 2015",cattle,Holstein_Friesian,SP110,transgenesis,PGK1,Mycobacterium,P1,pathogen load,9,0.21,0.071,9,0.45,0.03
74,"Wu et al., 2015",cattle,Holstein_Friesian,SP110,transgenesis,PGK1,Mycobacterium,P1,pathogen load,9,0.33,0.087,9,1.67,0.26
75,"Wu et al., 2015",cattle,Holstein_Friesian,SP110,transgenesis,PGK1,Mycobacterium,P1,pathogen load,9,4.7,2.1,9,17.8,4.8
96,"Byun et al., 2017",chicken,Lohmann brown,3D8,transgenesis,?-actin,H9N2AIV,F1,pathogen load,10,3.8915,0.472430789,10,3.4251,0.422345226
97,"Byun et al., 2017",chicken,Lohmann brown,3D8,transgenesis,?-actin,H9N2AIV,F1,pathogen load,10,2.5943,0.493655963,10,2.2919,0.734822761
98,"Byun et al., 2017",chicken,Lohmann brown,3D8,transgenesis,?-actin,H9N2AIV,F1,pathogen load,10,0.5232,0.419327748,10,0.8809,0.547136628
99,"Byun et al., 2017",chicken,Lohmann brown,3D8,transgenesis,?-actin,H9N2AIV,F1,pathogen load,10,0.3326,0.422290706,10,0.5919,0.35147815
100,"Byun et al., 2017",chicken,Lohmann brown,3D8,transgenesis,?-actin,H9N2AIV,F1,pathogen load,10,0.3022,0.9066,10,0.1899,0.298413287
101,"Byun et al., 2017",chicken,Lohmann brown,3D8,transgenesis,?-actin,H9N2AIV,F1,pathogen load,10,0.8482,0.907243936,10,2.2274,0.99094795
102,"Byun et al., 2017",chicken,Lohmann brown,3D8,transgenesis,?-actin,H9N2AIV,F1,pathogen load,10,1.062,0.710815447,10,2.741,1.014407315
103,"Byun et al., 2017",chicken,Lohmann brown,3D8,transgenesis,?-actin,H9N2AIV,F1,pathogen load,10,0.798555556,0.682553069,10,2.3741,0.616637892
106,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,CMV,PRRSV,F1,virus RNA,6,0.213,0,6,1.034,0.051
107,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,CMV,PRRSV,F1,virus RNA,6,0.107,0.079,6,0.253,0
108,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,CMV,PRRSV,F1,virus RNA,6,0.056,0.034,6,0.051,0
109,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,CMV,PRRSV,F1,virus RNA,6,0.301,0.03,6,1.03,0.181
110,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,CMV,PRRSV,F1,virus RNA,6,0.139,0,6,0.633,0.054
112,"Gao et al., 2017",cattle,Lanzhou,NRAMP1,transgenesis,U6,Mycobacterium,P1,pathogen load,6,0.4,0.13,6,1.29,0.12
113,"Gao et al., 2017",cattle,Lanzhou,NRAMP1,transgenesis,U6,Mycobacterium,P1,pathogen load,6,0.36,0.14,6,1.45,0.09
126,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,F1,virus RNA,3,1.329,0.28,3,24.965,0.699
127,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,F1,virus RNA,3,1.469,0.156,3,29.091,1.049
128,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,F1,virus RNA,3,1.399,0.5,3,27.902,0.49
129,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,P1,virus RNA,3,1.469,0.559,3,24.965,0.699
130,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,P1,virus RNA,3,1.469,0.559,3,29.091,1.049
131,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,P1,virus RNA,3,1.538,0,3,27.902,0.49
132,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,P1,virus RNA,3,4.246,0.201,3,5.765,0.067
133,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,P1,virus RNA,3,4.223,0.201,3,5.899,0.089
134,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,U6,CSFV,P1,virus RNA,3,4.335,0.201,3,5.944,0.223
157,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,virus RNA,13,3.864,0.059,13,3.636,0.179
158,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,virus RNA,13,2.727,0.162,13,3.636,0.179
159,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,virus RNA,13,4.68,0.092,13,4.327,0.105
160,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,virus RNA,13,3.922,0.157,13,4.327,0.105
161,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,virus RNA,13,3.477,0.627,13,5.569,0.314
162,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,virus RNA,13,4.235,0.235,13,5.569,0.314
163,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,virus RNA,13,5.948,0.209,13,6.039,0.074
164,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,virus RNA,13,5.725,0.144,13,6.039,0.074
165,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,antibody response,5,1.18,0.48,5,0.57,0.26
166,"Lee et al., 2019",chicken,Lohmann brown,3D8,transgenesis,?-actin,IBV,F1,antibody response,5,1.15,0.31,5,0.57,0.26
167,"Elaswad et al., 2019",fish,channel catfish,cec,transgenesis,CMV,Ich,F1,CSR,23,58.3,2.98,13,37.6,3.49
168,"Elaswad et al., 2019",fish,channel catfish,cec,transgenesis,CMV,Ich,F1,CSR,25,53.2,2.44,15,59.8,2.79
172,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,2,0.647,6,2.308,0.806
173,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,1.791,0.448,6,2.478,0.567
174,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,0.607,0.547,6,1.284,0.507
175,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,0.388,0.577,6,0.657,0.517
176,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,1.945,0.684,6,3.252,0.547
177,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,1.594,1.125,6,3.406,0.844
178,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,2.188,0.875,6,3.328,0.875
179,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,1.21,0.256,6,2.193,0.551
180,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,sign score,5,1.885,0.475,6,3.098,0.852
181,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,pathogen load,5,1.451,0.11,6,1.979,0.308
182,"Huang et al., 2020a",pig,Hubei,PBD-2,transgenesis,?-actin,Glaesserella,P1,pathogen load,5,3.367,1.089,6,5.671,1.19
183,"Huang et al., 2020b",pig,Hubei,PBD-2,transgenesis,?-actin,Actinobacillus,P1,pathogen load,3,4.976,0.21,3,5.657,0.314
184,"Huang et al., 2020b",pig,Hubei,PBD-2,transgenesis,?-actin,Streptococcus,P1,pathogen load,3,2.5,0.333,3,3.583,0.542
185,"Huang et al., 2020b",pig,Hubei,PBD-2,transgenesis,?-actin,Actinobacillus,P1,pathogen load,3,4.88,0.451,3,5.675,0.769
186,"Huang et al., 2020b",pig,Hubei,PBD-2,transgenesis,?-actin,Streptococcus,P1,pathogen load,3,2.362,0.371,3,3.242,0.556
207,"Challagulla et al., 2021",chicken,Hy-Line brown,ICP4,transgenesis,CMV,MDV,F1,pathogen load,18,0.537,0.031,10,0.997,0
208,"Challagulla et al., 2021",chicken,Hy-Line brown,ICP4,transgenesis,CMV,MDV,F1,pathogen load,4,23.977,2.924,9,58.48,5.653
209,"Challagulla et al., 2021",chicken,Hy-Line brown,ICP4,transgenesis,CMV,MDV,F1,pathogen load,3,23.195,3.939,3,71.991,5.033
210,"Challagulla et al., 2021",chicken,Hy-Line brown,ICP4,transgenesis,CMV,MDV,F1,pathogen load,9,13.421,4.474,9,36.842,10.789
211,"Challagulla et al., 2021",chicken,Hy-Line brown,ICP4,transgenesis,CMV,MDV,F1,pathogen load,6,5.077,1.692,3,33.846,13.846
212,"Challagulla et al., 2021",chicken,Hy-Line brown,ICP4,transgenesis,CMV,MDV,F1,pathogen load,13,11.825,1.767,6,29.903,4.621
213,"Hu et al., 2021",pig,unknown,FMDV-shRNA,transgenesis,U6,FMDV,P1,virus titer,9,1.456,0.169,6,2.174,0.19
214,"Hu et al., 2021",pig,unknown,FMDV-shRNA,transgenesis,U6,FMDV,P1,virus titer,9,2.195,0.211,6,5.34,0.106
215,"Hu et al., 2021",pig,unknown,FMDV-shRNA,transgenesis,U6,FMDV,P1,virus titer,9,4.517,0.127,6,6.522,0.106
216,"Hu et al., 2021",pig,unknown,FMDV-shRNA,transgenesis,U6,FMDV,P1,virus titer,9,5.615,0.106,6,7.346,0.106
217,"Hu et al., 2021",pig,unknown,FMDV-shRNA,transgenesis,U6,FMDV,P1,virus titer,9,2.271,0.062,6,4.646,0.029
218,"Hu et al., 2021",pig,unknown,FMDV-shRNA,transgenesis,U6,FMDV,P1,virus titer,9,4.688,0.333,6,5.438,0.029
219,"Hu et al., 2021",pig,unknown,FMDV-shRNA,transgenesis,U6,FMDV,P1,virus titer,9,5.979,0.083,6,6.5,0.229
220,"Hu et al., 2021",pig,unknown,FMDV-shRNA,transgenesis,U6,FMDV,P1,virus titer,9,6.188,0.229,6,7.458,0.146
229,"Abass et al., 2022",fish,channel catfish,cec,transgenesis,CMV,Edwardsiella,F1,CSR,36,11.86,11.55,30,26.67,5.77
230,"Abass et al., 2022",fish,channel catfish,cec,transgenesis,?-actin,Edwardsiella,F1,CSR,9,26.11,12.69,51,17.45,4.86
240,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,UBI,Flavobacterium,P1,CSR,10,80,0.8,10,30,0
241,"Wang et al., 2023b",fish,channel catfish,cec,transgenesis,UBI,Edwardsiella,F1,CSR,15,45,7.07,15,20,0
242,"Wang et al., 2023b",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,55,7.07,15,20,0
257,"Rohaim et al., 2024",chicken,unknown,chIFITM3,transgenesis,?-actin,HPAIV,P1,virus titer,3,11.831,1.69,3,30.704,1.831
258,"Rohaim et al., 2024",chicken,unknown,chIFITM3,transgenesis,?-actin,HPAIV,P1,CSR,8,56.7,2.7,8,24.7,0
259,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,P1,CSR,15,73.33,1.7,15,13.3,0
260,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,P1,CSR,15,66.67,2.4,15,13.3,0
261,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,F1,CSR,15,86.67,3,15,26.67,0
262,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,F1,CSR,15,73.33,1.9,15,26.67,0
263,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,P1,CSR,15,73.33,2.5,15,33.33,0
264,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,P1,CSR,15,73.33,3,15,33.33,0
265,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,60,1.8,15,33.33,0
266,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,66.67,1,15,40,0
267,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,P1,CSR,20,55,7.07,20,30,0
268,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,P1,CSR,20,75,7.07,20,15,0
269,"Wang et al., 2024b",fish,channel catfish,cec,transgenesis,UBI,Edwardsiella,P1,CSR,20,50,14.142,20,20,0
270,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,36.7,14.142,20,25,0
271,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Edwardsiella,F1,CSR,15,70,4.667,20,40,0
272,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,F1,CSR,15,43.3,1.56,20,15,0
273,"Wang et al., 2024b",fish,channel catfish,cath,transgenesis,UBI,Flavobacterium,F1,CSR,15,80,4.67,20,35,0
