ID,Author,category,species,gene,method,trait,promoter,tissue,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
63,"Yang et al., 2015",pig,Large White,PBD-2,transgenesis,disease resistance,?-actin,liver,protein,P1,60,3,8804.781,239.044,3,6135.458,159.363
64,"Yang et al., 2015",pig,Large White,PBD-2,transgenesis,disease resistance,?-actin,spleen,protein,P1,60,3,8764.94,125.987,3,6015.936,79.681
65,"Yang et al., 2015",pig,Large White,PBD-2,transgenesis,disease resistance,?-actin,lung,protein,P1,60,3,7569.721,39.841,3,6294.821,79.681
66,"Yang et al., 2015",pig,Large White,PBD-2,transgenesis,disease resistance,?-actin,kidney,protein,P1,60,3,7211.155,39.841,3,4262.948,79.681
67,"Yang et al., 2015",pig,Large White,PBD-2,transgenesis,disease resistance,?-actin,intestine,protein,P1,60,3,3984.064,39.841,3,2231.076,79.681
68,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,blood,mRNA,P1,106,3,36.892,3.243,3,0,0
69,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,heart,mRNA,P1,106,3,139.459,10.541,3,0,0
70,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,liver,mRNA,P1,106,3,21.486,2.838,3,0,0
71,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,kidney,mRNA,P1,106,3,5.676,1.622,3,0,0
72,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,skin,mRNA,P1,106,3,42.162,3.649,3,0,0
73,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,lung,mRNA,P1,106,3,13.378,2.432,3,0,0
74,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,intestine,mRNA,P1,106,3,1.147,2.432,3,0,0
75,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,spleen,mRNA,P1,106,3,6.081,2.432,3,0,0
76,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,lung,mRNA,F1,unknown,9,3.11,0.608,10,1.018,0.212
77,"Lu et al., 2017",pig,Landrace,HDAC6,transgenesis,disease resistance,CMV,skin,mRNA,F1,unknown,9,6.829,0.886,6,0.914,0.2
78,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,disease resistance,U6,heart,mRNA,P1,unknown,3,2.902,0.471,3,1,0
79,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,disease resistance,U6,spleen,mRNA,P1,unknown,3,15.373,2.039,3,1,0
80,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,disease resistance,U6,lung,mRNA,P1,unknown,3,2.824,0.314,3,1,0
81,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,disease resistance,U6,kidney,mRNA,P1,unknown,3,8.235,0.471,3,1,0
82,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,disease resistance,U6,tongue,mRNA,P1,unknown,3,2.745,0.235,3,1,0
83,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,disease resistance,U6,blood,mRNA,P1,unknown,3,1.333,0.157,3,1,0
84,"Xie et al., 2018",pig,unknown,CSFV-shRNA,transgenesis,disease resistance,U6,brain,mRNA,P1,unknown,3,5.647,0.863,3,1,0
86,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,fin,mRNA,P1,120,3,1.974,0.461,3,1,0
87,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,barbel,mRNA,P1,120,3,3.158,0.526,3,1,0
88,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,skin,mRNA,P1,120,3,7.697,0.461,3,1,0
89,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,muscle,mRNA,P1,120,3,6.908,0.526,3,1,0
90,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,intestine,mRNA,P1,120,3,5.789,0.987,3,1,0
91,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,kidney,mRNA,P1,120,3,14.342,1.184,3,1,0
92,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,stomach,mRNA,P1,120,3,1.447,0.461,3,1,0
93,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,liver,mRNA,P1,120,3,6.711,1.118,3,1,0
94,"Wang et al., 2023a",fish,blue catfish,cath,transgenesis,disease resistance,UBI,gonad,mRNA,P1,120,3,3.816,0.395,3,1,0
95,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,liver,mRNA,P1,120,3,4.74,0.417,3,1,0
96,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,kidney,mRNA,P1,120,3,15.312,0.521,3,1,0
97,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,spleen,mRNA,P1,120,3,6.042,0.365,3,1,0
98,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,blood,mRNA,P1,120,3,8.385,0.833,3,1,0
99,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,gill,mRNA,P1,120,3,14.531,0.312,3,1,0
100,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,skin,mRNA,P1,120,3,1.458,0.417,3,1,0
101,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,intestine,mRNA,P1,120,3,1.511,0.469,3,1,0
102,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,fin,mRNA,P1,120,3,5,1.25,3,1,0
103,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,barbel,mRNA,P1,120,3,7.5,0.573,3,1,0
104,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,muscle,mRNA,P1,120,3,1.823,0.147,3,1,0
105,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,stomach,mRNA,P1,120,3,2.708,0.052,3,1,0
106,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,brain,mRNA,P1,120,3,1.198,0.469,3,1,0
107,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,eye,mRNA,P1,120,3,1.875,0.417,3,1,0
108,"Wang et al., 2024a",fish,channel catfish,cath,transgenesis,disease resistance,UBI,gonad,mRNA,P1,120,3,0.938,0.417,3,1,0
109,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.742,0.418,3,0,0
110,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.498,0.087,3,0,0
111,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,2.979,0.087,3,0,0
112,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,0.993,0.105,3,0,0
113,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,0.836,0.105,3,0,0
114,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.498,0.122,3,0,0
115,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,4.233,0.087,3,0,0
116,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,0.714,0.049,3,0,0
117,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,0.348,0.052,3,0,0
118,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,0.331,0.052,3,0,0
119,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,0.557,0.07,3,0,0
120,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.394,0.07,3,0,0
121,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.725,0.087,3,0,0
122,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.272,0.087,3,0,0
123,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,0.993,0.07,3,0,0
124,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,CMV,in vitro,mRNA,NA,NA,3,0.122,0.157,3,0,0
125,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,CMV,in vitro,mRNA,NA,NA,3,0.105,0.07,3,0,0
126,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,CMV,in vitro,mRNA,NA,NA,3,0.105,0.07,3,0,0
127,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,CMV,in vitro,mRNA,NA,NA,3,0.158,0.07,3,0,0
128,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,fatty acid,CMV,in vitro,mRNA,NA,NA,3,0.175,0.07,3,0,0
129,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.704,0.181,3,0,0
130,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.686,0.145,3,0,0
131,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.668,0.073,3,0,0
132,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.776,0.29,3,0,0
133,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,4.35,0.326,3,0,0
134,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.668,0.181,3,0,0
135,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,2.085,0.218,3,0,0
136,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,4.858,0.181,3,0,0
137,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.776,0.453,3,0,0
138,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,4.387,0.145,3,0,0
139,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.631,0.145,3,0,0
140,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.758,0.236,3,0,0
141,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.831,0.363,3,0,0
142,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,3.281,0.381,3,0,0
143,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,2.139,0.471,3,0,0
144,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,3.589,0.363,3,0,0
145,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,in vitro,mRNA,NA,NA,3,1.921,0.036,3,0,0
146,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,heart,mRNA,P1,3,3,13.881,2.374,3,0,0
147,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,liver,mRNA,P1,3,3,6.027,1.461,3,0,0
148,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,spleen,mRNA,P1,3,3,11.324,4.018,3,0,0
149,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,lung,mRNA,P1,3,3,1.461,0.731,3,0,0
150,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,kidney,mRNA,P1,3,3,2.009,0.731,3,0,0
151,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,muscle,mRNA,P1,3,3,33.059,2.557,3,0,0
152,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,brain,mRNA,P1,3,3,1.644,0.548,3,0,0
153,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,skin,mRNA,P1,3,3,1.826,0.548,3,0,0
154,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,ear,mRNA,P1,3,3,4.201,0.731,3,0,0
155,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,tongue,mRNA,P1,3,3,25.023,0.731,3,0,0
156,"Zhang et al., 2013",sheep,Xinjiang sheep,fat1,transgenesis,fatty acid,?-actin,tail,mRNA,P1,3,3,2.192,0.365,3,0,0
20,"Jiang et al., 2017",fish,blunt snout bream,gcFST,gene_editing,growth,Mylz2,muscle,mRNA,F1,510,3,9.363,0.676,3,4.225,0.811
21,"Jiang et al., 2017",fish,blunt snout bream,gcFST,gene_editing,growth,Mylz2,muscle,mRNA,F1,510,3,9.307,1.227,3,4.057,0.58
157,"Li et al., 2018",pig,Duroc,fat1,transgenesis,fatty acid,pRosa26,heart,mRNA,F1,0,3,1.504,0.087,3,0,0
158,"Li et al., 2018",pig,Duroc,fat1,transgenesis,fatty acid,pRosa26,liver,mRNA,F1,0,3,2.747,0.153,3,0,0
159,"Li et al., 2018",pig,Duroc,fat1,transgenesis,fatty acid,pRosa26,spleen,mRNA,F1,0,3,0.545,0.087,3,0,0
160,"Li et al., 2018",pig,Duroc,fat1,transgenesis,fatty acid,pRosa26,lung,mRNA,F1,0,3,6.323,1.003,3,0,0
161,"Li et al., 2018",pig,Duroc,fat1,transgenesis,fatty acid,pRosa26,kidney,mRNA,F1,0,3,3.314,0.676,3,0,0
162,"Li et al., 2018",pig,Duroc,fat1,transgenesis,fatty acid,pRosa26,brain,mRNA,F1,0,3,4.535,0.763,3,0,0
163,"Li et al., 2018",pig,Duroc,fat1,transgenesis,fatty acid,pRosa26,muscle,mRNA,F1,0,3,1.003,0.065,3,0,0
164,"Li et al., 2018",pig,Duroc,fat1,transgenesis,fatty acid,pRosa26,tongue,mRNA,F1,0,3,1.265,0.065,3,0,0
165,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,heart,mRNA,P1,300,3,126.324,21.6342,3,1,0
166,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,brain,mRNA,P1,300,3,61.265,10.935,3,1,0
167,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,kidney,mRNA,P1,300,3,13.247,2.065,3,1,0
168,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,liver,mRNA,P1,300,3,9.118,2.237,3,1,0
169,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,muscle,mRNA,P1,300,3,4.387,2.065,3,1,0
170,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,fin,mRNA,P1,300,3,4.301,1.72,3,1,0
171,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,barbel,mRNA,P1,300,3,3.097,0.946,3,1,0
172,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,skin,mRNA,P1,300,3,2.237,0.688,3,1,0
173,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,spleen,mRNA,P1,300,3,1.204,0.344,3,1,0
174,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,intestine,mRNA,P1,300,3,0.344,0.516,3,1,0
175,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,fatty acid,?-actin,gill,mRNA,P1,300,3,1.204,0.43,3,1,0
