ID,Author,category,species,gene,method,promoter,pathogen,generation,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
122,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,6,3,3,55,23
123,"Yang et al., 2018",pig,Durocs,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,11,7.559,0.717
124,"Yang et al., 2018",pig,Durocs,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,11,8.414,0.497
125,"Yang et al., 2018",pig,Durocs,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,11,8.469,0.221
135,"Guo et al., 2019",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,3,8.842,0.367
136,"Guo et al., 2019",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,3,9.209,0.452
137,"Guo et al., 2019",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,3,6.158,0.96
138,"Guo et al., 2019",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,3,6.469,0.254
139,"Guo et al., 2019",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,3,5.339,0.48
140,"Guo et al., 2019",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,3,4.746,0.254
141,"Guo et al., 2019",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,0,0,3,4.435,0.452
142,"Whitworth et al., 2019",pig,Large White,ANPEP,gene editing,NA,TGEV,P1,antibody response,6,27.53466667,21.66491831,6,66.54833333,7.160844131
143,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,0.831,0.244,6,4.153,0.44
144,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,1.026,0.586,6,4.691,0
145,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,1.173,0.733,6,4.397,0
146,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,1.515,0.391,6,4.593,0
147,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,4.935,0.293,6,11.629,0.586
148,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,1.514,0.12,6,3.216,0
149,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,1.676,0.216,6,4.405,0.541
150,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,1.676,0.622,6,5.73,0.324
151,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus titer,4,1.973,0.514,6,5.297,0.541
152,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,1.079,0.315,3,4.427,0.404
153,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,1.258,0.225,3,4.562,0.18
154,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,1.258,0.247,3,4.854,0.112
155,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,1.303,0,3,4.742,0.337
156,"Chen et al., 2019",pig,Landrace,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,3.528,0,3,4.921,0.225
169,"Koslová et al., 2020",chicken,White Leghorn,NHE1,gene editing,NA,ALV,F1,virus RNA,7,6925025.329,1134883.689,1,6170212.766,0
170,"Hellmich et al., 2020",chicken,White Leghorn,W38,gene editing,NA,ALV,P1,pathogen load,9,5.512,2.48,9,0,0
171,"Hellmich et al., 2020",chicken,White Leghorn,W38,gene editing,NA,ALV,P1,pathogen load,9,8.031,2.756,9,0,0
187,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Vibrio,P1,CSR,10,15.395,1.897,10,4.012,1.186
188,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Vibrio,P1,CSR,10,45.632,4.387,10,5.079,1.542
189,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Vibrio,P1,CSR,10,45.87,2.727,10,7.332,2.609
190,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Vibrio,P1,CSR,10,47.53,1.897,10,8.755,3.202
191,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Vibrio,P1,CSR,10,48.36,2.134,10,10.771,1.779
192,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Aeromonas,P1,CSR,10,50.754,3.656,10,4.797,1.393
193,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Aeromonas,P1,CSR,10,63.985,3.83,10,5.319,2.263
194,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Aeromonas,P1,CSR,10,68.162,1.915,10,8.627,2.611
195,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Aeromonas,P1,CSR,10,69.033,2.785,10,10.019,3.482
196,"Sun et al., 2020b",shrimp,Exopalaemon carinicauda,EcBCO2,gene editing,NA,Aeromonas,P1,CSR,10,70.251,2.785,10,12.282,1.741
197,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Vibrio,P1,CSR,10,22.222,2.02,10,21.212,2.273
198,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Vibrio,P1,CSR,10,55.555,4.545,10,23.737,2.778
199,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Vibrio,P1,CSR,10,55.807,2.525,10,28.789,2.02
200,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Vibrio,P1,CSR,10,56.818,1.768,10,30.304,2.525
201,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Vibrio,P1,CSR,10,58.338,2.273,10,30.555,2.273
202,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Aeromonas,P1,CSR,10,61.415,4.409,10,31.501,3.15
203,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Aeromonas,P1,CSR,10,74.329,2.835,10,32.441,4.094
204,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Aeromonas,P1,CSR,10,77.793,2.205,10,34.96,2.835
205,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Aeromonas,P1,CSR,10,79.368,2.835,10,36.849,3.779
206,"Sun et al., 2020c",shrimp,Exopalaemon carinicauda,EcNinaB,gene editing,NA,Aeromonas,P1,CSR,10,80.627,2.52,10,37.795,2.835
221,"Kheimar et al., 2021",chicken,White Leghorn,NHE1,gene editing,NA,ALV,P1,virus RNA,8,4.7,0.125,7,7.55,0.7
222,"Kheimar et al., 2021",chicken,White Leghorn,NHE1,gene editing,NA,ALV,P1,virus RNA,8,4.425,0.35,7,6.7,0.65
223,"Kheimar et al., 2021",chicken,White Leghorn,NHE1,gene editing,NA,ALV,P1,virus RNA,8,2.15,0.8,7,5.35,0.475
224,"Kheimar et al., 2021",chicken,White Leghorn,NHE1,gene editing,NA,ALV,P1,virus RNA,8,1.775,0.6,7,4.9,0.125
225,"Kheimar et al., 2021",chicken,White Leghorn,NHE1,gene editing,NA,ALV,P1,virus RNA,8,0.825,0.775,7,5,0.525
226,"Kheimar et al., 2021",chicken,White Leghorn,NHE1,gene editing,NA,ALV,P1,virus RNA,8,0.6,0.375,7,5,0.85
227,"Kheimar et al., 2021",chicken,White Leghorn,NHE1,gene editing,NA,ALV,P1,virus RNA,8,0.2,0.125,7,4.95,2.6
228,"Kheimar et al., 2021",chicken,White Leghorn,NHE1,gene editing,NA,ALV,P1,virus RNA,8,0.2,0.325,7,4.275,1.6
231,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,P1,virus RNA,3,0.574,0.016,3,0.982,0.044
232,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,P1,virus RNA,3,0.463,0.02,3,0.989,0.024
233,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,P1,virus RNA,3,0.103,0.016,3,0.985,0.02
234,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,P1,pathogen load,3,4.975,0.314,3,5.737,0.112
235,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,P1,pathogen load,3,3.672,0.06,3,4.418,0.104
236,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,F1,pathogen load,3,4.908,0.269,3,5.737,0.112
237,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,F1,pathogen load,3,3.731,0.076,3,4.418,0.104
238,"Xu et al., 2023",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus titer,3,48.882,4.473,3,79.233,7.348
239,"Xu et al., 2023",pig,Large White,CD163,gene editing,NA,PRRSV,P1,virus RNA,3,42.173,3.067,3,99.297,2.3
243,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,765.625,62.5
244,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,1296.875,218.75
245,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,1437.5,578.125
246,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,578.125,234.375
247,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,859.375,171.875
248,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,671.875,125
249,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,1875,218.75
250,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,1796.875,921.875
251,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,1187.5,265.625
252,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,703.125,234.375
253,"Workman et al., 2023",cattle,Bos indicus,CD46,gene editing,NA,BVDV,P1,virus RNA,3,0,0,3,1109.375,421.875
254,"Salgado et al., 2024",pig,unknown,CD163,gene editing,NA,PRRSV,F1,virus RNA,8,0,0,2,5.818,0.242
255,"Salgado et al., 2024",pig,unknown,CD163,gene editing,NA,PRRSV,F1,virus RNA,8,0,0,2,4.747,0.263
256,"Salgado et al., 2024",pig,unknown,CD163,gene editing,NA,PRRSV,F1,antibody response,8,0,0,2,1.032,0.719834703
